Price,Area,City,Bedrooms,Bathrooms,Location,Property_Type,Built_in_year,Parking_space,Servant_Quarters,Store_rooms,Kitchens,Drawing_Rooms
16 Crore,14 Marla,Islamabad,5 Beds,5 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
5 Crore,1.3 Kanal,Islamabad,5 Beds,6 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
67 Lakh,2.9 Marla,Islamabad,-,1 Bath,"Gulberg, Islamabad, Islamabad Capital",Flat,,,,,,
50 Crore,1.3 Kanal,Islamabad,6 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
1.4 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
42 Crore,1.3 Kanal,Islamabad,5 Beds,7 Baths,"F-11, Islamabad, Islamabad Capital",House,,,,,,
2.49 Crore,5 Marla,Islamabad,4 Beds,4 Baths,"PWD Housing Scheme, Islamabad, Islamabad Capital",House,,,,,,
65 Crore,4 Kanal,Islamabad,8 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
12.9 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
3.85 Crore,11 Marla,Islamabad,3 Beds,4 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
4.95 Crore,10 Marla,Islamabad,6 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
8.5 Crore,1 Kanal,Islamabad,8 Beds,7 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
2.45 Crore,3 Marla,Islamabad,4 Beds,4 Baths,"Park Road, Islamabad, Islamabad Capital",House,,,,,,
6.4 Crore,10 Marla,Islamabad,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
2.1 Crore,5 Marla,Islamabad,4 Beds,4 Baths,"Faisal Hills, Islamabad, Islamabad Capital",House,,,,,,
40 Lakh,1.5 Marla,Islamabad,1 Bed,1 Bath,"Korang Town, Islamabad, Islamabad Capital",Flat,,,,,,
3.85 Crore,9.3 Marla,Islamabad,4 Beds,5 Baths,"D-17, Islamabad, Islamabad Capital",House,,,,,,
6.95 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
1.48 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
2.1 Crore,10 Marla,Islamabad,4 Beds,4 Baths,"Tarlai, Islamabad, Islamabad Capital",House,,,,,,
6.75 Crore,1 Kanal,Islamabad,7 Beds,6 Baths,"G-16, Islamabad, Islamabad Capital",House,,,,,,
3 Crore,7 Marla,Islamabad,5 Beds,6 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
8.8 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.4 Crore,5 Marla,Islamabad,3 Beds,2 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
